Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687209021890,2021-05-12,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-13,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,5,0,5,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-14,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,7,0,7,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-15,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-16,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,13,0,13,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-17,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,4,0,4,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021891,2021-05-13,Traffic | Mattress Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212655959366
PP687209021891,2021-05-14,Traffic | Mattress Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655959366
PP687209021891,2021-05-15,Traffic | Mattress Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655959366
PP687209021891,2021-05-17,Traffic | Mattress Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,5,0,5,0,0,0,0,0,0,0,0,0,P753438212655959366
PP687209840635,2021-05-11,Traffic | Home specialists trained to he,ACTIVE,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212653771142
PP687209840635,2021-05-13,Traffic | Home specialists trained to he,ACTIVE,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212653771142
PP687209840641,2021-05-14,Traffic | Sleep specialists trained to h,ACTIVE,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress_11.6.20_12.31.20,AG2680067008199,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212653771259
PP687210009864,2021-05-11,Traffic | Veteran's Day 10.30.20_11.15.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922234
PP687210009864,2021-05-13,Traffic | Veteran's Day 10.30.20_11.15.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922234
PP687210009864,2021-05-14,Traffic | Veteran's Day 10.30.20_11.15.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,5,0,5,0,0,0,0,0,0,0,0,0,P753438212656922234
PP687210009864,2021-05-15,Traffic | Veteran's Day 10.30.20_11.15.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,5,0,5,0,0,0,0,0,0,0,0,0,P753438212656922234
PP687210009864,2021-05-16,Traffic | Veteran's Day 10.30.20_11.15.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922234
PP687210009864,2021-05-17,Traffic | Veteran's Day 10.30.20_11.15.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212656922234
PP687210010622,2021-05-10,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-11,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-12,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-13,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-14,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-15,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-16,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212656922551
PP687210010622,2021-05-17,Traffic | Black Friday Preview 11.16.20_11.25.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,3,0,3,0,0,0,0,0,0,0,0,0,P753438212656922551
